,init_cond,equilibrium,init_M,init_C,init_T
108,109.0,2.0,0.16000000000000003,0.31000000000000005,0.5299999999999999
109,110.0,2.0,0.21000000000000002,0.31000000000000005,0.4799999999999999
110,111.0,2.0,0.26,0.31000000000000005,0.42999999999999994
111,112.0,2.0,0.31000000000000005,0.31000000000000005,0.3799999999999999
112,113.0,2.0,0.36000000000000004,0.31000000000000005,0.3299999999999999
113,114.0,2.0,0.41000000000000003,0.31000000000000005,0.2799999999999999
114,115.0,2.0,0.46,0.31000000000000005,0.22999999999999993
115,116.0,2.0,0.51,0.31000000000000005,0.17999999999999994
116,117.0,2.0,0.56,0.31000000000000005,0.1299999999999999
117,118.0,2.0,0.6100000000000001,0.31000000000000005,0.07999999999999985
118,119.0,2.0,0.66,0.31000000000000005,0.029999999999999916
119,120.0,2.0,0.01,0.36000000000000004,0.6299999999999999
120,121.0,2.0,0.060000000000000005,0.36000000000000004,0.5799999999999998
121,122.0,2.0,0.11,0.36000000000000004,0.5299999999999999
122,123.0,2.0,0.16000000000000003,0.36000000000000004,0.47999999999999987
123,124.0,2.0,0.21000000000000002,0.36000000000000004,0.4299999999999999
124,125.0,2.0,0.26,0.36000000000000004,0.3799999999999999
125,126.0,2.0,0.31000000000000005,0.36000000000000004,0.32999999999999985
126,127.0,2.0,0.36000000000000004,0.36000000000000004,0.27999999999999986
127,128.0,2.0,0.41000000000000003,0.36000000000000004,0.22999999999999987
128,129.0,2.0,0.46,0.36000000000000004,0.17999999999999988
129,130.0,2.0,0.51,0.36000000000000004,0.1299999999999999
130,131.0,2.0,0.56,0.36000000000000004,0.07999999999999985
131,132.0,2.0,0.6100000000000001,0.36000000000000004,0.029999999999999805
132,133.0,2.0,0.01,0.41000000000000003,0.58
133,134.0,2.0,0.060000000000000005,0.41000000000000003,0.5299999999999999
134,135.0,2.0,0.11,0.41000000000000003,0.48
135,136.0,2.0,0.16000000000000003,0.41000000000000003,0.42999999999999994
136,137.0,2.0,0.21000000000000002,0.41000000000000003,0.37999999999999995
137,138.0,2.0,0.26,0.41000000000000003,0.32999999999999996
138,139.0,2.0,0.31000000000000005,0.41000000000000003,0.2799999999999999
139,140.0,2.0,0.36000000000000004,0.41000000000000003,0.22999999999999993
140,141.0,2.0,0.41000000000000003,0.41000000000000003,0.17999999999999994
141,142.0,2.0,0.46,0.41000000000000003,0.12999999999999995
142,143.0,2.0,0.51,0.41000000000000003,0.07999999999999996
143,144.0,2.0,0.56,0.41000000000000003,0.029999999999999916
144,145.0,2.0,0.01,0.46,0.53
145,146.0,2.0,0.060000000000000005,0.46,0.48000000000000004
146,147.0,2.0,0.11,0.46,0.43000000000000005
147,148.0,2.0,0.16000000000000003,0.46,0.38
148,149.0,2.0,0.21000000000000002,0.46,0.33
149,150.0,2.0,0.26,0.46,0.28
150,151.0,2.0,0.31000000000000005,0.46,0.22999999999999998
151,152.0,2.0,0.36000000000000004,0.46,0.18
152,153.0,2.0,0.41000000000000003,0.46,0.13
153,154.0,2.0,0.46,0.46,0.08000000000000002
154,155.0,2.0,0.51,0.46,0.030000000000000027
155,156.0,2.0,0.01,0.51,0.48
156,157.0,2.0,0.060000000000000005,0.51,0.43
157,158.0,2.0,0.11,0.51,0.38
